Time Interval, Browse Path, Value Source, Data Type
0,Line2/Filler/InfeedCount,0,UInt32
1,Line2/Filler/State,0,UInt32
3,Line2/CasePacker/WasteCount,0,UInt32
4,Line2/CasePacker/State,0,UInt32
6,Line2/Palletizer/OutfeedCount,0,UInt32
7,Line2/Palletizer/State,0,UInt32
9,Line1/Filler/InfeedCount,0,UInt32
9,Line2/Filler/InfeedCount,0,UInt32
10,Line1/Filler/State,1,UInt32
10,Line2/Filler/State,1,UInt32
12,Line1/CasePacker/WasteCount,0,UInt32
12,Line2/CasePacker/WasteCount,0,UInt32
13,Line1/CasePacker/State,1,UInt32
13,Line2/CasePacker/State,1,UInt32
15,Line1/Palletizer/OutfeedCount,0,UInt32
15,Line2/Palletizer/OutfeedCount,0,UInt32
16,Line1/Palletizer/State,1,UInt32
16,Line2/Palletizer/State,1,UInt32
18,Line1/Filler/InfeedCount,1,UInt32
18,Line2/Filler/InfeedCount,1,UInt32
19,Line1/Filler/State,1,UInt32
19,Line2/Filler/State,1,UInt32
21,Line1/CasePacker/WasteCount,0,UInt32
21,Line2/CasePacker/WasteCount,0,UInt32
22,Line1/CasePacker/State,1,UInt32
22,Line2/CasePacker/State,1,UInt32
24,Line1/Palletizer/OutfeedCount,0,UInt32
24,Line2/Palletizer/OutfeedCount,0,UInt32
25,Line1/Palletizer/State,1,UInt32
25,Line2/Palletizer/State,1,UInt32
27,Line1/Filler/InfeedCount,2,UInt32
27,Line2/Filler/InfeedCount,2,UInt32
28,Line1/Filler/State,1,UInt32
28,Line2/Filler/State,1,UInt32
30,Line1/CasePacker/WasteCount,0,UInt32
30,Line2/CasePacker/WasteCount,0,UInt32
31,Line1/CasePacker/State,1,UInt32
31,Line2/CasePacker/State,1,UInt32
33,Line1/Palletizer/OutfeedCount,0,UInt32
33,Line2/Palletizer/OutfeedCount,0,UInt32
34,Line1/Palletizer/State,1,UInt32
34,Line2/Palletizer/State,1,UInt32
36,Line1/Filler/InfeedCount,3,UInt32
36,Line2/Filler/InfeedCount,3,UInt32
37,Line1/Filler/State,1,UInt32
37,Line2/Filler/State,1,UInt32
39,Line1/CasePacker/WasteCount,0,UInt32
39,Line2/CasePacker/WasteCount,0,UInt32
40,Line1/CasePacker/State,1,UInt32
40,Line2/CasePacker/State,1,UInt32
42,Line1/Palletizer/OutfeedCount,0,UInt32
42,Line2/Palletizer/OutfeedCount,0,UInt32
43,Line1/Palletizer/State,1,UInt32
43,Line2/Palletizer/State,1,UInt32
45,Line1/Filler/InfeedCount,4,UInt32
45,Line2/Filler/InfeedCount,4,UInt32
46,Line1/Filler/State,1,UInt32
46,Line2/Filler/State,1,UInt32
48,Line1/CasePacker/WasteCount,0,UInt32
48,Line2/CasePacker/WasteCount,0,UInt32
49,Line1/CasePacker/State,1,UInt32
49,Line2/CasePacker/State,1,UInt32
51,Line1/Palletizer/OutfeedCount,0,UInt32
51,Line2/Palletizer/OutfeedCount,0,UInt32
52,Line1/Palletizer/State,1,UInt32
52,Line2/Palletizer/State,1,UInt32
54,Line1/Filler/InfeedCount,5,UInt32
54,Line2/Filler/InfeedCount,5,UInt32
55,Line1/Filler/State,1,UInt32
55,Line2/Filler/State,1,UInt32
57,Line1/CasePacker/WasteCount,0,UInt32
