Time Interval, Browse Path, Value Source, Data Type
4,Line2/CasePacker/State,0,Double
13,Line2/CasePacker/State,1,Double
22,Line2/CasePacker/State,1,Double
31,Line2/CasePacker/State,1,Double
40,Line2/CasePacker/State,1,Double
49,Line2/CasePacker/State,1,Double
58,Line2/CasePacker/State,1,Double
67,Line2/CasePacker/State,1,Double
76,Line2/CasePacker/State,1,Double
85,Line2/CasePacker/State,1,Double
94,Line2/CasePacker/State,1,Double
103,Line2/CasePacker/State,1,Double
112,Line2/CasePacker/State,1,Double
121,Line2/CasePacker/State,1,Double
130,Line2/CasePacker/State,1,Double
139,Line2/CasePacker/State,1,Double
148,Line2/CasePacker/State,1,Double
157,Line2/CasePacker/State,1,Double
166,Line2/CasePacker/State,1,Double
175,Line2/CasePacker/State,1,Double
184,Line2/CasePacker/State,1,Double
193,Line2/CasePacker/State,1,Double
202,Line2/CasePacker/State,1,Double
211,Line2/CasePacker/State,1,Double
220,Line2/CasePacker/State,1,Double
229,Line2/CasePacker/State,1,Double
238,Line2/CasePacker/State,1,Double
247,Line2/CasePacker/State,6,Double
256,Line2/CasePacker/State,6,Double
265,Line2/CasePacker/State,6,Double
274,Line2/CasePacker/State,6,Double
283,Line2/CasePacker/State,6,Double
292,Line2/CasePacker/State,6,Double
301,Line2/CasePacker/State,6,Double
310,Line2/CasePacker/State,6,Double
319,Line2/CasePacker/State,6,Double
328,Line2/CasePacker/State,6,Double
337,Line2/CasePacker/State,1,Double
346,Line2/CasePacker/State,1,Double
355,Line2/CasePacker/State,1,Double
364,Line2/CasePacker/State,1,Double
373,Line2/CasePacker/State,1,Double
382,Line2/CasePacker/State,1,Double
391,Line2/CasePacker/State,1,Double
400,Line2/CasePacker/State,1,Double
409,Line2/CasePacker/State,1,Double
418,Line2/CasePacker/State,1,Double
427,Line2/CasePacker/State,1,Double
436,Line2/CasePacker/State,1,Double
445,Line2/CasePacker/State,1,Double
454,Line2/CasePacker/State,1,Double
463,Line2/CasePacker/State,1,Double
472,Line2/CasePacker/State,1,Double
481,Line2/CasePacker/State,1,Double
490,Line2/CasePacker/State,1,Double
499,Line2/CasePacker/State,13,Double
508,Line2/CasePacker/State,13,Double
517,Line2/CasePacker/State,13,Double
526,Line2/CasePacker/State,13,Double
535,Line2/CasePacker/State,13,Double
544,Line2/CasePacker/State,1,Double
553,Line2/CasePacker/State,1,Double
562,Line2/CasePacker/State,1,Double
571,Line2/CasePacker/State,1,Double
580,Line2/CasePacker/State,1,Double
589,Line2/CasePacker/State,1,Double
598,Line2/CasePacker/State,1,Double
607,Line2/CasePacker/State,1,Double
616,Line2/CasePacker/State,1,Double
625,Line2/CasePacker/State,1,Double
634,Line2/CasePacker/State,1,Double
643,Line2/CasePacker/State,1,Double
652,Line2/CasePacker/State,1,Double
661,Line2/CasePacker/State,1,Double
670,Line2/CasePacker/State,1,Double
679,Line2/CasePacker/State,1,Double
688,Line2/CasePacker/State,1,Double
697,Line2/CasePacker/State,1,Double
706,Line2/CasePacker/State,1,Double
715,Line2/CasePacker/State,1,Double
724,Line2/CasePacker/State,1,Double
733,Line2/CasePacker/State,6,Double
742,Line2/CasePacker/State,6,Double
751,Line2/CasePacker/State,6,Double
760,Line2/CasePacker/State,6,Double
769,Line2/CasePacker/State,6,Double
778,Line2/CasePacker/State,6,Double
787,Line2/CasePacker/State,6,Double
796,Line2/CasePacker/State,6,Double
805,Line2/CasePacker/State,6,Double
814,Line2/CasePacker/State,6,Double
823,Line2/CasePacker/State,6,Double
832,Line2/CasePacker/State,6,Double
841,Line2/CasePacker/State,6,Double
850,Line2/CasePacker/State,6,Double
859,Line2/CasePacker/State,6,Double
868,Line2/CasePacker/State,6,Double
877,Line2/CasePacker/State,6,Double
886,Line2/CasePacker/State,6,Double
895,Line2/CasePacker/State,6,Double
904,Line2/CasePacker/State,6,Double
913,Line2/CasePacker/State,1,Double
922,Line2/CasePacker/State,1,Double
931,Line2/CasePacker/State,1,Double
940,Line2/CasePacker/State,1,Double
949,Line2/CasePacker/State,1,Double
958,Line2/CasePacker/State,1,Double
967,Line2/CasePacker/State,1,Double
976,Line2/CasePacker/State,1,Double
985,Line2/CasePacker/State,1,Double
994,Line2/CasePacker/State,1,Double
1003,Line2/CasePacker/State,1,Double
1012,Line2/CasePacker/State,1,Double
1021,Line2/CasePacker/State,1,Double
1030,Line2/CasePacker/State,1,Double
1039,Line2/CasePacker/State,1,Double
1048,Line2/CasePacker/State,1,Double
1057,Line2/CasePacker/State,1,Double
1066,Line2/CasePacker/State,1,Double
1075,Line2/CasePacker/State,13,Double
1084,Line2/CasePacker/State,13,Double
1093,Line2/CasePacker/State,13,Double
1102,Line2/CasePacker/State,13,Double
1111,Line2/CasePacker/State,13,Double
1120,Line2/CasePacker/State,13,Double
1129,Line2/CasePacker/State,13,Double
1138,Line2/CasePacker/State,13,Double
1147,Line2/CasePacker/State,13,Double
1156,Line2/CasePacker/State,13,Double
1165,Line2/CasePacker/State,13,Double
1174,Line2/CasePacker/State,13,Double
1183,Line2/CasePacker/State,13,Double
1192,Line2/CasePacker/State,13,Double
1201,Line2/CasePacker/State,13,Double
1210,Line2/CasePacker/State,13,Double
1219,Line2/CasePacker/State,13,Double
1228,Line2/CasePacker/State,13,Double
1237,Line2/CasePacker/State,13,Double
1246,Line2/CasePacker/State,13,Double
1255,Line2/CasePacker/State,1,Double
1264,Line2/CasePacker/State,1,Double
1273,Line2/CasePacker/State,1,Double
1282,Line2/CasePacker/State,1,Double
1291,Line2/CasePacker/State,1,Double
1300,Line2/CasePacker/State,1,Double
1309,Line2/CasePacker/State,1,Double
1318,Line2/CasePacker/State,1,Double
1327,Line2/CasePacker/State,1,Double
1336,Line2/CasePacker/State,1,Double
1345,Line2/CasePacker/State,1,Double
1354,Line2/CasePacker/State,1,Double
1363,Line2/CasePacker/State,1,Double
1372,Line2/CasePacker/State,1,Double
1381,Line2/CasePacker/State,1,Double
1390,Line2/CasePacker/State,1,Double
1399,Line2/CasePacker/State,1,Double
1408,Line2/CasePacker/State,1,Double
1417,Line2/CasePacker/State,1,Double
1426,Line2/CasePacker/State,1,Double
1435,Line2/CasePacker/State,1,Double
1444,Line2/CasePacker/State,1,Double
1453,Line2/CasePacker/State,1,Double
1462,Line2/CasePacker/State,1,Double
1471,Line2/CasePacker/State,1,Double
1480,Line2/CasePacker/State,1,Double
1489,Line2/CasePacker/State,1,Double
1498,Line2/CasePacker/State,1,Double
1507,Line2/CasePacker/State,1,Double
1516,Line2/CasePacker/State,1,Double
1525,Line2/CasePacker/State,1,Double
1534,Line2/CasePacker/State,1,Double
1543,Line2/CasePacker/State,1,Double
1552,Line2/CasePacker/State,1,Double
1561,Line2/CasePacker/State,1,Double
1570,Line2/CasePacker/State,1,Double
1579,Line2/CasePacker/State,1,Double
1588,Line2/CasePacker/State,1,Double
1597,Line2/CasePacker/State,1,Double
1606,Line2/CasePacker/State,1,Double
1615,Line2/CasePacker/State,1,Double
1624,Line2/CasePacker/State,1,Double
1633,Line2/CasePacker/State,1,Double
1642,Line2/CasePacker/State,1,Double
1651,Line2/CasePacker/State,1,Double
1660,Line2/CasePacker/State,1,Double
1669,Line2/CasePacker/State,1,Double
1678,Line2/CasePacker/State,1,Double
1687,Line2/CasePacker/State,1,Double
1696,Line2/CasePacker/State,1,Double
1705,Line2/CasePacker/State,5,Double
1714,Line2/CasePacker/State,5,Double
1723,Line2/CasePacker/State,5,Double
1732,Line2/CasePacker/State,5,Double
1741,Line2/CasePacker/State,5,Double
1750,Line2/CasePacker/State,5,Double
1759,Line2/CasePacker/State,5,Double
1768,Line2/CasePacker/State,5,Double
1777,Line2/CasePacker/State,5,Double
1786,Line2/CasePacker/State,5,Double
1795,Line2/CasePacker/State,5,Double
1804,Line2/CasePacker/State,5,Double
1813,Line2/CasePacker/State,5,Double
1822,Line2/CasePacker/State,5,Double
1831,Line2/CasePacker/State,1,Double
1840,Line2/CasePacker/State,1,Double
1849,Line2/CasePacker/State,1,Double
1858,Line2/CasePacker/State,1,Double
1867,Line2/CasePacker/State,1,Double
1876,Line2/CasePacker/State,1,Double
1885,Line2/CasePacker/State,1,Double
1894,Line2/CasePacker/State,1,Double
1903,Line2/CasePacker/State,1,Double
1912,Line2/CasePacker/State,1,Double
1921,Line2/CasePacker/State,1,Double
1930,Line2/CasePacker/State,1,Double
1939,Line2/CasePacker/State,1,Double
1948,Line2/CasePacker/State,1,Double
1957,Line2/CasePacker/State,1,Double
1966,Line2/CasePacker/State,1,Double
1975,Line2/CasePacker/State,1,Double
1984,Line2/CasePacker/State,1,Double
1993,Line2/CasePacker/State,1,Double
2002,Line2/CasePacker/State,1,Double
2011,Line2/CasePacker/State,1,Double
2020,Line2/CasePacker/State,1,Double
2029,Line2/CasePacker/State,1,Double
2038,Line2/CasePacker/State,1,Double
2047,Line2/CasePacker/State,1,Double
2056,Line2/CasePacker/State,1,Double
2065,Line2/CasePacker/State,6,Double
2074,Line2/CasePacker/State,6,Double
2083,Line2/CasePacker/State,6,Double
2092,Line2/CasePacker/State,6,Double
2101,Line2/CasePacker/State,6,Double
2110,Line2/CasePacker/State,6,Double
2119,Line2/CasePacker/State,6,Double
2128,Line2/CasePacker/State,6,Double
2137,Line2/CasePacker/State,6,Double
2146,Line2/CasePacker/State,6,Double
2155,Line2/CasePacker/State,6,Double
2164,Line2/CasePacker/State,6,Double
2173,Line2/CasePacker/State,6,Double
2182,Line2/CasePacker/State,6,Double
2191,Line2/CasePacker/State,6,Double
2200,Line2/CasePacker/State,6,Double
2209,Line2/CasePacker/State,6,Double
2218,Line2/CasePacker/State,6,Double
2227,Line2/CasePacker/State,6,Double
2236,Line2/CasePacker/State,6,Double
2245,Line2/CasePacker/State,1,Double
2254,Line2/CasePacker/State,1,Double
2263,Line2/CasePacker/State,1,Double
2272,Line2/CasePacker/State,1,Double
2281,Line2/CasePacker/State,1,Double
2290,Line2/CasePacker/State,1,Double
2299,Line2/CasePacker/State,1,Double
2308,Line2/CasePacker/State,1,Double
2317,Line2/CasePacker/State,1,Double
2326,Line2/CasePacker/State,1,Double
2335,Line2/CasePacker/State,1,Double
2344,Line2/CasePacker/State,1,Double
2353,Line2/CasePacker/State,1,Double
2362,Line2/CasePacker/State,1,Double
2371,Line2/CasePacker/State,1,Double
2380,Line2/CasePacker/State,1,Double
2389,Line2/CasePacker/State,1,Double
2398,Line2/CasePacker/State,1,Double
2407,Line2/CasePacker/State,1,Double
2416,Line2/CasePacker/State,1,Double
2425,Line2/CasePacker/State,1,Double
2434,Line2/CasePacker/State,1,Double
2443,Line2/CasePacker/State,1,Double
2452,Line2/CasePacker/State,1,Double
2461,Line2/CasePacker/State,1,Double
2470,Line2/CasePacker/State,1,Double
2479,Line2/CasePacker/State,1,Double
2488,Line2/CasePacker/State,1,Double
2497,Line2/CasePacker/State,1,Double
2506,Line2/CasePacker/State,1,Double
2515,Line2/CasePacker/State,1,Double
2524,Line2/CasePacker/State,1,Double
2533,Line2/CasePacker/State,1,Double
2542,Line2/CasePacker/State,1,Double
2551,Line2/CasePacker/State,1,Double
2560,Line2/CasePacker/State,5,Double
2569,Line2/CasePacker/State,5,Double
2578,Line2/CasePacker/State,5,Double
2587,Line2/CasePacker/State,5,Double
2596,Line2/CasePacker/State,5,Double
2605,Line2/CasePacker/State,5,Double
2614,Line2/CasePacker/State,5,Double
2623,Line2/CasePacker/State,5,Double
2632,Line2/CasePacker/State,5,Double
2641,Line2/CasePacker/State,5,Double
2650,Line2/CasePacker/State,5,Double
2659,Line2/CasePacker/State,5,Double
2668,Line2/CasePacker/State,5,Double
2677,Line2/CasePacker/State,5,Double
2686,Line2/CasePacker/State,1,Double
2695,Line2/CasePacker/State,1,Double
2704,Line2/CasePacker/State,1,Double
2713,Line2/CasePacker/State,1,Double
2722,Line2/CasePacker/State,1,Double
2731,Line2/CasePacker/State,1,Double
2740,Line2/CasePacker/State,1,Double
2749,Line2/CasePacker/State,1,Double
2758,Line2/CasePacker/State,1,Double
2767,Line2/CasePacker/State,1,Double
2776,Line2/CasePacker/State,1,Double
2785,Line2/CasePacker/State,1,Double
2794,Line2/CasePacker/State,1,Double
2803,Line2/CasePacker/State,1,Double
2812,Line2/CasePacker/State,1,Double
2821,Line2/CasePacker/State,1,Double
2830,Line2/CasePacker/State,1,Double
2839,Line2/CasePacker/State,1,Double
2848,Line2/CasePacker/State,1,Double
2857,Line2/CasePacker/State,1,Double
2866,Line2/CasePacker/State,1,Double
2875,Line2/CasePacker/State,1,Double
2884,Line2/CasePacker/State,1,Double
2893,Line2/CasePacker/State,1,Double
2902,Line2/CasePacker/State,1,Double
2911,Line2/CasePacker/State,1,Double
2920,Line2/CasePacker/State,6,Double
2929,Line2/CasePacker/State,6,Double
2938,Line2/CasePacker/State,6,Double
2947,Line2/CasePacker/State,6,Double
2956,Line2/CasePacker/State,6,Double
2965,Line2/CasePacker/State,6,Double
2974,Line2/CasePacker/State,6,Double
2983,Line2/CasePacker/State,6,Double
2992,Line2/CasePacker/State,6,Double
3001,Line2/CasePacker/State,6,Double
3010,Line2/CasePacker/State,1,Double
3019,Line2/CasePacker/State,1,Double
3028,Line2/CasePacker/State,1,Double
3037,Line2/CasePacker/State,1,Double
3046,Line2/CasePacker/State,1,Double
3055,Line2/CasePacker/State,1,Double
3064,Line2/CasePacker/State,1,Double
3073,Line2/CasePacker/State,1,Double
3082,Line2/CasePacker/State,1,Double
3091,Line2/CasePacker/State,1,Double
3100,Line2/CasePacker/State,1,Double
3109,Line2/CasePacker/State,1,Double
3118,Line2/CasePacker/State,1,Double
3127,Line2/CasePacker/State,1,Double
3136,Line2/CasePacker/State,1,Double
3145,Line2/CasePacker/State,1,Double
3154,Line2/CasePacker/State,1,Double
3163,Line2/CasePacker/State,1,Double
3172,Line2/CasePacker/State,13,Double
3181,Line2/CasePacker/State,13,Double
3190,Line2/CasePacker/State,13,Double
3199,Line2/CasePacker/State,13,Double
3208,Line2/CasePacker/State,13,Double
3217,Line2/CasePacker/State,1,Double
3226,Line2/CasePacker/State,1,Double
3235,Line2/CasePacker/State,1,Double
3244,Line2/CasePacker/State,1,Double
3253,Line2/CasePacker/State,1,Double
3262,Line2/CasePacker/State,1,Double
3271,Line2/CasePacker/State,1,Double
3280,Line2/CasePacker/State,1,Double
3289,Line2/CasePacker/State,1,Double
3298,Line2/CasePacker/State,1,Double
3307,Line2/CasePacker/State,1,Double
3316,Line2/CasePacker/State,6,Double
3325,Line2/CasePacker/State,6,Double
3334,Line2/CasePacker/State,6,Double
3343,Line2/CasePacker/State,6,Double
3352,Line2/CasePacker/State,6,Double
3361,Line2/CasePacker/State,6,Double
3370,Line2/CasePacker/State,6,Double
3379,Line2/CasePacker/State,6,Double
3388,Line2/CasePacker/State,6,Double
3397,Line2/CasePacker/State,6,Double
